Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\Time-Appliance-Project-master\Time-Card\GNSS\UBlox\RCB-F9T\Altium\ECAD\Project Outputs for GPS_MODULE_ZED-F9T-00B\Pick Place for GPS_MODULE_ZED-F9T(V1I1).txt

========================================================================================================================
File Design Information:

Date:       21/12/22
Time:       09:03
Revision:   Not in VersionControl
Variant:    V1I1
Units used: mil

Designator Comment                   Layer    Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                 
R14        1k                        TopLayer FP-RMCF0402-MFG                830.000       482.000       180      "1kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                           
R13        1k                        TopLayer FP-RMCF0402-MFG                831.000       693.000       180      "1kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                           
R3         1k                        TopLayer FP-RMCF0402-MFG                2124.000      666.000       90       "1kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                           
R2         1k                        TopLayer FP-RMCF0402-MFG                2201.000      666.000       90       "1kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                           
DS1        Lumex_SML-LXFM0603SUGCTR  TopLayer LEDS160X80X110-2N_LXFM0603-GR  2491.000      813.000       270      "LED, GREEN, 574NM, 20MA, 20MCD MIN, 2.5VF MAX, 0603, 1.10MM T"                             
R4         10k                       TopLayer FP-RMCF0402-IPC_C              2399.000      777.806       90       "10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                          
U3         SN74LVC3G07DCUR           TopLayer DCU0008A_N                     780.000       583.000       0        "Triple Buffer/Driver With Open-Drain Output, DCU0008A, LARGE T&R"                          
C4         Murata_GRM155R61E105KA12D TopLayer CAPC1005X055N                  1635.000      655.000       0        "CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"                                              
C1         Murata_GRM155R61E105KA12D TopLayer CAPC1005X055N                  1635.000      460.000       0        "CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"                                              
U4         LPV511MGX/NOPB            TopLayer DCK0005A_N                     610.000       645.000       90       "micropower Rail-to-Rail Input and Output Operational Amplifier, 5-pin SC-70, Pb-Free"      
U2         SN74LVC3G07DCUR           TopLayer DCU0008A_N                     2006.000      497.000       270      "Triple Buffer/Driver With Open-Drain Output, DCU0008A, LARGE T&R"                          
U1         ZED-F9T-00B               TopLayer GPS_ZED-F9T                    1251.693      538.661       270      "Multi-band GNSS Receiver with Nanosecond-level Timing Accuracy"                            
TP8        SMT_100DIA                TopLayer TP001V_SMT_100DIA              1745.000      150.000       90       "TEST POINT, PC, SMT, 1.00MM DIA"                                                           
TP7        SMT_100DIA                TopLayer TP001V_SMT_100DIA              1690.000      150.000       90       "TEST POINT, PC, SMT, 1.00MM DIA"                                                           
TP6        SMT_100DIA                TopLayer TP001V_SMT_100DIA              1635.000      150.000       90       "TEST POINT, PC, SMT, 1.00MM DIA"                                                           
TP5        SMT_100DIA                TopLayer TP001V_SMT_100DIA              1405.000      1015.000      90       "TEST POINT, PC, SMT, 1.00MM DIA"                                                           
TP4        SMT_100DIA                TopLayer TP001V_SMT_100DIA              1460.000      1015.000      90       "TEST POINT, PC, SMT, 1.00MM DIA"                                                           
