Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\TimeCardNPI\HackDesign\WIP\ECAD\Project Outputs for Timingcard_PROJECT\Pick Place for TimeCard-DC-V7_EXP.csv

========================================================================================================================
File Design Information:

Date:       21/11/22
Time:       09:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P1","AUX Sensor","TopLayer","HDR1X4","1573.622","-1200.787","180","Header, 4-Pin"
"R47","DNI_0_5%_1206","TopLayer","RESC3116X65X50ML20T20","3657.480","-1362.205","0",""
"J38","39-30-1060","TopLayer","39-30-1060","6492.126","-1779.528","90","CONN, HDR, 2X3, R/A, 4.2MM, TH, MINI-FIT JR"
"R46","DNI_0_5%_1206","TopLayer","RESC3116X65X50ML20T20","3417.323","-1248.032","180",""
"R45","0_5%_1206","TopLayer","RESC3116X65X50ML20T20","3649.606","-1248.032","0",""
"R44","DNI_0_5%_1206","TopLayer","RESC3116X65X50ML20T20","6480.315","-2602.362","180",""
"D19","STPS5L60S","TopLayer","FP-STPS5L60S-MFG","6728.346","-2767.716","270","DIODE SCHOTTKY 60V 5A SMC"
"D12","STPS5L60S","TopLayer","FP-STPS5L60S-MFG","6728.346","-2275.591","90","DIODE SCHOTTKY 60V 5A SMC"
"J37","Single FPGA Conn","TopLayer","SingleFPGAConn","4309.097","-3085.975","90",""
"J36","Single FPGA Conn","TopLayer","SingleFPGAConn","3409.043","-2340.449","0",""
"J35","Single FPGA Conn","TopLayer","SingleFPGAConn","4309.097","-1604.766","270",""
"J34","Single FPGA Conn","TopLayer","SingleFPGAConn","5283.953","-2340.449","180",""
"J31","SA53_Header","TopLayer","SA53_Header","3013.188","-2365.934","180",""
"J13","GNSS Header","TopLayer","SMTC-TLE-104-01-X-DV","6398.148","-258.362","270","8-pin GNSS header"
"J6","GNSS Header","TopLayer","SMTC-TLE-104-01-X-DV","836.105","-618.599","90","8-pin GNSS header"
"R43","DNI_49.9R","TopLayer","RESC1608X55X25NL10T15","2452.756","-1271.653","180","General Purpose Chip Resistor, 49.9 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R42","DNI_49.9R","TopLayer","RESC1608X55X25NL10T15","2600.503","-1322.773","180","General Purpose Chip Resistor, 49.9 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"D10","BLUE","TopLayer","FP-LTST-C191TBKT-MFG","403.543","118.110","90","LED BLUE CLEAR CHIP SMD"
"D9","BLUE","TopLayer","FP-LTST-C191TBKT-MFG","334.646","118.110","90","LED BLUE CLEAR CHIP SMD"
"D3","BLUE","TopLayer","FP-LTST-C191TBKT-MFG","265.748","118.110","90","LED BLUE CLEAR CHIP SMD"
"U16","NC7WV125K8X","TopLayer","SOP50P310X90-8N","748.032","-3188.976","180","Integrated Circuit"
"U12","NC7WV125K8X","TopLayer","SOP50P310X90-8N","757.874","-2125.984","180","Integrated Circuit"
"U11","NC7WV125K8X","TopLayer","SOP50P310X90-8N","757.874","-2647.638","180","Integrated Circuit"
"U8","NC7WV125K8X","TopLayer","SOP50P310X90-8N","748.032","-1594.488","180","Integrated Circuit"
"U6","IS32FL3207","TopLayer","IS32FL3207","1033.465","-1259.842","0",""
"R41","4.7K","TopLayer","RESC1608X55X30NL15T15","797.244","-1358.268","0","Precision Thick Film Chip Resistor, 4.7 KOhm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel ERJ-3EKF4701V"
"R40","100k","TopLayer","FP-RC0603-0_55-MFG","826.772","-1131.890","270","RES SMD 100K OHM 1% 1/10W 0603"
"R39","200 OHM","TopLayer","RESC1608X55X30NL15T15","472.441","-19.685","90","ERJ-3EKF2000V"
"R38","200 OHM","TopLayer","RESC1608X55X30NL15T15","403.543","-19.685","90","ERJ-3EKF2000V"
"R36","200 OHM","TopLayer","RESC1608X55X30NL15T15","334.646","-19.685","90","ERJ-3EKF2000V"
"R35","200 OHM","TopLayer","RESC1608X55X30NL15T15","265.748","-19.685","90","ERJ-3EKF2000V"
"R34","49.9R","TopLayer","RESC1608X55X25NL10T15","568.898","-3169.291","180","General Purpose Chip Resistor, 49.9 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R33","49.9R","TopLayer","RESC1608X55X25NL10T15","580.709","-2106.299","180","General Purpose Chip Resistor, 49.9 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
