Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\TimeCardNPI\HackDesign\WIP\ECAD\Project Outputs for Timingcard_PROJECT\Pick Place for TimeCard-DC-V9_EXP.csv

========================================================================================================================
File Design Information:

Date:       28/08/23
Time:       18:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R186","10K_1%_0402","BottomLayer","RESC1005X40X25LL05T10","454.014","-1543.654","0",""
"R185","10K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","4437.008","-1543.307","0",""
"R184","10K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","4373.027","-1460.630","270",""
"R183","20K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","4417.323","-1460.630","270",""
"U34","TPS2116DRLR","BottomLayer","IC_TPS2116","5677.823","-2795.343","0","1.6-V to 5.5-V, 40-m?, 2.5-A, low-IQ, priority power multiplexer 8-SOT-5X3 -40 to 125"
"U32","TPS2116DRLR","BottomLayer","IC_TPS2116","5338.779","-2746.850","180","1.6-V to 5.5-V, 40-m?, 2.5-A, low-IQ, priority power multiplexer 8-SOT-5X3 -40 to 125"
"U33","NCP176AMX330TCG","BottomLayer","FP-711AT-MFG","5896.524","-2799.924","0","IC REG LINEAR 3.3V 500MA 6XDFN"
"R182","10K_5%_0402","BottomLayer","RESC1005X40X25ML05T05","5567.587","-2755.973","0",""
"R181","10K_5%_0402","BottomLayer","RESC1005X40X25ML05T05","5421.260","-2799.213","90",""
"R180","10K_5%_0402","BottomLayer","RESC1005X40X25ML05T05","5669.949","-2728.414","0",""
"R49","10K_5%_0402","BottomLayer","RESC1005X40X25ML05T05","5342.349","-2824.808","180",""
"C115","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","5962.203","-2782.794","90","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C114","1uF_16V_0402","BottomLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_A","5962.203","-2857.597","270","None"
"C113","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","5569.359","-2807.548","180","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C112","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","5808.659","-2774.919","90","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C111","1uF_16V_0402","BottomLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_A","5808.659","-2853.660","270","None"
"C110","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","5444.711","-2718.509","90","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"R179","200_1%_0402","TopLayer","RESC1005X40X25NL05T05","5972.441","-1444.882","180",""
"R178","200_1%_0402","BottomLayer","RESC1005X40X25NL05T05","5889.764","-1858.268","180",""
"R141","10K_1%_0402","BottomLayer","RESC1005X40X25LL05T10","5897.304","-1602.213","270",""
"R140","10K_1%_0402","BottomLayer","RESC1005X40X25LL05T10","5897.638","-1771.653","90",""
"D19","LTST-C191KGKT","TopLayer","FP-LTST-C191KGKT-MFG","5976.378","-1500.000","0","LED GREEN CLEAR SMD"
"D12","LTST-C191KGKT","TopLayer","FP-LTST-C191KGKT-MFG","6029.528","-1861.073","0","LED GREEN CLEAR SMD"
"U29","PI3A412ZHE","TopLayer","ZH16_PER","1507.874","3.937","0","No Description Available"
"U28","PI3A412ZHE","TopLayer","ZH16_PER","4783.465","-3039.370","0","No Description Available"
"U31","TMUX1072RUTR","TopLayer","FP-RUT0012A-MFG","1897.638","-944.882","90","IC SWITCH SPDT DUAL 12UQFN"
"U30","TMUX1072RUTR","TopLayer","FP-RUT0012A-MFG","4803.150","-2657.480","0","IC SWITCH SPDT DUAL 12UQFN"
"R177","49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2000.000","-917.323","0",""
"R176","49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","1791.339","-921.260","180",""
"R175","49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","4826.772","-2779.528","270",""
"R174","DNI_49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","1988.189","-1027.559","180",""
"R173","DNI_49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2000.000","-877.953","180",""
"R172","DNI_49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","1795.276","-1011.811","0",""
