Altium Designer Pick and Place Locations
X:\My Drive\Meta\TAP\Workspace\esp_wiwi_board\Altium\ESP-WiWi\Project Outputs for ESP-WiWi\Manufacturing Outputs\Pick Place\Pick Place for pcb_v1.csv

========================================================================================================================
File Design Information:

Date:       22/06/23
Time:       11:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U15","HMC472ALP4ETR","TopLayer","IC_HMC472ALP4ETR","1299.213","4783.465","0","RF Attenuator 31.5dB ±0.35dB 0 ~ 3.8GHz 50 Ohm 560mW 24-VFQFN Exposed Pad"
"R65","10k","TopLayer","RES_0402","1299.213","4921.260","180","RES SMD 10K OHM 1% 1/16W 0402"
"C65","100pF","TopLayer","CAP_0402","1535.433","4862.205","270","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C64","10uF","TopLayer","CAP_0402","1181.102","4893.701","270","Cap Ceramic 10uF 6.3V X5R 20% SMD 0402 85∞C Paper T/R"
"C63","0.1uF","TopLayer","CAP_0402","1141.732","4893.701","270","Cap Ceramic 0.1uF 16V X7R 10% SMD 0402 125C Paper T/R"
"J13","PZ254V-11-04P","TopLayer","CONN_4_PIN_M_100MIL","2125.984","1920.079","270","???? ??2.54mm 4pin ??"
"R99","0 ohm","TopLayer","RES_0402","1692.913","2854.331","270","RES SMD 0 OHM JUMPER 1/16W 0402"
"R98","0 ohm","TopLayer","RES_0402","1653.543","2854.331","270","RES SMD 0 OHM JUMPER 1/16W 0402"
"R94","0 ohm","TopLayer","RES_0402","1791.339","2854.331","270","RES SMD 0 OHM JUMPER 1/16W 0402"
"R92","0 ohm","TopLayer","RES_0402","1830.709","2854.331","270","RES SMD 0 OHM JUMPER 1/16W 0402"
"U13","PE42420F-Z","TopLayer","RF_PE42420F-Z","1939.441","4763.789","0","RF Switch, SPDT, 0.03 to 6 GHz, 0.95 dB IL, 70 dB Isolation, 45.4 dBm Pwr Rating, QFN"
"U11","PE42420F-Z","TopLayer","RF_PE42420F-Z","909.918","4624.016","0","RF Switch, SPDT, 0.03 to 6 GHz, 0.95 dB IL, 70 dB Isolation, 45.4 dBm Pwr Rating, QFN"
"U10","PE42420F-Z","TopLayer","RF_PE42420F-Z","464.567","4628.422","90","RF Switch, SPDT, 0.03 to 6 GHz, 0.95 dB IL, 70 dB Isolation, 45.4 dBm Pwr Rating, QFN"
"C62","33pF","TopLayer","CAP_0402","1616.929","4886.417","0","Ceramic capacitor SMD-0402 33pF /50V C0G# J +-5%, Samsung, RoHS"
"C61","33pF","TopLayer","CAP_0402","1616.929","5024.213","0","Ceramic capacitor SMD-0402 33pF /50V C0G# J +-5%, Samsung, RoHS"
"C44","100pF","TopLayer","CAP_0402","452.756","4507.874","180","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C60","100pF","TopLayer","CAP_0402","2086.614","4763.779","180","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C58","100pF","TopLayer","CAP_0402","1813.780","4507.874","0","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C52","100pF","TopLayer","CAP_0402","1811.024","4763.779","90","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C55","100pF","TopLayer","CAP_0402","1909.449","4625.984","180","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C59","100pF","TopLayer","CAP_0402","1141.732","4586.614","270","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C51","0.1uF","TopLayer","CAP_0402","2047.244","4881.890","180","Cap Ceramic 0.1uF 16V X7R 10% SMD 0402 125C Paper T/R"
"C50","100pF","TopLayer","CAP_0402","1043.307","4645.669","270","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C46","100pF","TopLayer","CAP_0402","433.071","4744.095","180","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C45","100pF","TopLayer","CAP_0402","688.976","4625.984","180","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C49","100pF","TopLayer","CAP_0402","492.126","4448.819","180","0402 100 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor"
"C43","0.1uF","TopLayer","CAP_0402","887.795","4753.937","180","Cap Ceramic 0.1uF 16V X7R 10% SMD 0402 125C Paper T/R"
"C42","0.1uF","TopLayer","CAP_0402","334.646","4606.299","270","Cap Ceramic 0.1uF 16V X7R 10% SMD 0402 125C Paper T/R"
"J8","PZ254V-12-10P","TopLayer","CONN_10_PIN_M_100MIL","1732.284","2135.039","0","???? ??2.54mm 10pin ??"
"U9","WS2812B-B","TopLayer","LED_WS2812B-B","2342.520","1496.063","270","Intelligent control LED integrated light source"
"U4","WS2812B-B","TopLayer","LED_WS2812B-B","1299.213","3799.213","0","Intelligent control LED integrated light source"
"U2","WS2812B-B","TopLayer","LED_WS2812B-B","826.772","3799.213","180","Intelligent control LED integrated light source"
"C37","1uF","TopLayer","CAP_0402","2342.520","1653.543","0","Cap Ceramic 1uF 25V X5R 10% SMD 0402 85∞C Cardboard T/R"
"C27","1uF","TopLayer","CAP_0402","1141.732","3799.213","90","Cap Ceramic 1uF 25V X5R 10% SMD 0402 85∞C Cardboard T/R"
"C12","1uF","TopLayer","CAP_0402","984.252","3799.213","270","Cap Ceramic 1uF 25V X5R 10% SMD 0402 85∞C Cardboard T/R"
"R50","10M","TopLayer","RES_0402","2125.984","1200.787","0","Res Thick Film 0402 10M Ohm 5% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R"
"J7","PPTC041LFBN-RC","TopLayer","CONN_4_PIN_100MIL","696.063","3049.213","0","4 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"R111","10k","TopLayer","RES_0402","1692.913","1574.803","270","RES SMD 10K OHM 1% 1/16W 0402"
"R55","10k","TopLayer","RES_0402","1850.394","1279.527","270","RES SMD 10K OHM 1% 1/16W 0402"
"R49","0 ohm","TopLayer","RES_0402","1673.228","1141.732","180","RES SMD 0 OHM JUMPER 1/16W 0402"
"R48","0 ohm","TopLayer","RES_0402","1673.228","1181.102","180","RES SMD 0 OHM JUMPER 1/16W 0402"
"R47","499","TopLayer","RES_0402","2322.835","334.646","90","Res General Purpose Thick Film 0402 499 Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"
"R34","0 ohm","TopLayer","RES_0402","1929.134","3838.583","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R33","0 ohm","TopLayer","RES_0402","1889.764","3838.583","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R32","0 ohm","TopLayer","RES_0402","1850.394","3838.583","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R29","0 ohm","TopLayer","RES_0402","1811.024","3838.583","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R28","0 ohm","TopLayer","RES_0402","1771.653","3838.583","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R27","0 ohm","TopLayer","RES_0402","1633.858","3937.008","180","RES SMD 0 OHM JUMPER 1/16W 0402"
"R26","0 ohm","TopLayer","RES_0402","1633.858","3976.378","180","RES SMD 0 OHM JUMPER 1/16W 0402"
"R24","10M","TopLayer","RES_0402","1610.236","4047.244","90","Res Thick Film 0402 10M Ohm 5% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R"
"R23","10k","TopLayer","RES_0402","1673.228","4350.394","90","RES SMD 10K OHM 1% 1/16W 0402"
"R12","0 ohm","TopLayer","RES_0402","476.378","3797.244","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R11","0 ohm","TopLayer","RES_0402","437.008","3797.244","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R10","0 ohm","TopLayer","RES_0402","397.638","3797.244","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R7","0 ohm","TopLayer","RES_0402","358.268","3797.244","90","RES SMD 0 OHM JUMPER 1/16W 0402"
