Altium Designer Pick and Place Locations
C:\NetTimeLogic\Hardware\PMOD\PMOD_USB_RCB_M2\Project Outputs for Pmod_Usb_Rcb_M2\Generate Files\Pick Place\Pick Place for Pmod_Usb_Rcb_M2.txt

========================================================================================================================
File Design Information:

Date:       09.10.24
Time:       09:07
Revision:   8b1bf91b9ecf598605df6fae53cbb9a4b0959b24
Variant:    No variations
Units used: mil

Designator Comment             Layer    Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                         
C12        C0603C104K4RACTU    TopLayer FP-C0603C-CF-MFG              1082.677      1106.299      0        "Cap Ceramic 0.1uF 16V X7R 10% SMD 0603 125°C Paper T/R"                                            
B3         74LVC1G3157GW-Q10H  TopLayer SOT65P210X110-6N              1106.299      1181.102      0        "74LVC1G3157-Q100 - 2-channel analog multiplexer/demultiplexer@en-us"                               
X1         DS04-254-2-01BK-SMT TopLayer DS04254201BKSMTTR             1913.386      1173.228      270      "Switch DIP OFF ON SPST 1 Flat Slide 0.025A 24VDC Gull Wing 2.54mm SMD Tube"                        
C11        C0603C104K4RACTU    TopLayer FP-C0603C-CF-MFG              889.764       1106.299      180      "Cap Ceramic 0.1uF 16V X7R 10% SMD 0603 125°C Paper T/R"                                            
B2         74LVC1G3157GW-Q10H  TopLayer SOT65P210X110-6N              877.953       1181.102      0        "74LVC1G3157-Q100 - 2-channel analog multiplexer/demultiplexer@en-us"                               
J6         SM05B-SRSS-TB       TopLayer SM05BSRSSTBLFSN               1484.252      1135.335      180      "Board Connector, 5 Contact(s), 1 Row(s), Male, Right Angle, Surface Mount Terminal"                
J5         1909763-1           TopLayer FP-1909763-1-MFG              1266.240      90.551        270      "RF COAX Connector, UMCC PLUG, 50 OHM, PCB; Co; Connector Type: UMCC Coaxial; Body Style: Straight" 
C10        C0603C105K4RACTU    TopLayer CAPC1608X90X35LL15T15         346.457       1149.606      90       "Cap Ceramic 1uF 16V X7R 10% SMD 0603 125°C Paper T/R"                                              
C9         C0603C105K4RACTU    TopLayer CAPC1608X90X35LL15T15         539.370       1055.118      90       "Cap Ceramic 1uF 16V X7R 10% SMD 0603 125°C Paper T/R"                                              
C8         C0603C104K4RACTU    TopLayer FP-C0603C-CF-MFG              1295.276      964.567       270      "Cap Ceramic 0.1uF 16V X7R 10% SMD 0603 125°C Paper T/R"                                            
C7         C0603C104K4RACTU    TopLayer FP-C0603C-CF-MFG              1240.158      964.567       270      "Cap Ceramic 0.1uF 16V X7R 10% SMD 0603 125°C Paper T/R"                                            
