Altium Designer Pick and Place Locations
G:\My Drive\Meta\TAP\Workspace\GPS_MODULE_RCB-F9T-00B\Altium\GPS_MODULE_RCB-F9T-00B\Project Outputs for GPS_MODULE_ZED-F9T-00B\Pick Place\Pick Place for GPS_MODULE_ZED-F9T(V1I1).csv

========================================================================================================================
File Design Information:

Date:       25/10/22
Time:       11:06
Revision:   Not in VersionControl
Variant:    V1I1
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"DS3","Lumex_SML-LXFM0603SUGCTR","TopLayer","LEDS160X80X110-2N_LXFM0603-GR","2543.000","810.000","270","LED, GREEN, 574NM, 20MA, 20MCD MIN, 2.5VF MAX, 0603, 1.10MM T"
"R10","10k","TopLayer","FP-RMCF0402-IPC_C","2451.000","829.000","90","10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"U3","SN74LVC3G07DCUR","TopLayer","DCU0008A_N","820.000","655.000","0","Triple Buffer/Driver With Open-Drain Output, DCU0008A, LARGE T&R"
"R5","10k","TopLayer","FP-RMCF0402-IPC_C","2130.000","390.000","180","10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R2","10k","TopLayer","FP-RMCF0402-IPC_C","2130.000","460.000","0","10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"C4","Murata_GRM155R61E105KA12D","TopLayer","CAPC1005X055N","1635.000","655.000","0","CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"
"C1","Murata_GRM155R61E105KA12D","TopLayer","CAPC1005X055N","1635.000","460.000","0","CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"
"U4","LPV511MGX/NOPB","TopLayer","DCK0005A_N","610.000","645.000","90","micropower Rail-to-Rail Input and Output Operational Amplifier, 5-pin SC-70, Pb-Free"
"U1","ZED-F9T-00B","TopLayer","GPS_ZED-F9T","1251.693","538.661","270","Multi-band GNSS Receiver with Nanosecond-level Timing Accuracy"
"TP8","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1745.000","150.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP7","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1690.000","150.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP6","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1635.000","150.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP5","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1405.000","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP4","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1460.000","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP3","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1055.000","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP2","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1110.000","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP1","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1165.000","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"R9","Vishay_RCP0603W25R0GEB","TopLayer","RESC1608X055N","515.000","490.000","90","RES, 25 OHM, 2%, 1.5W, 150PPM/C, 0603"
"R8","100k","TopLayer","FP-RMCF0402-IPC_C","690.000","460.000","180","100kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R7","1k","TopLayer","FP-RMCF0402-MFG","615.000","460.000","180","1kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R6","100k","TopLayer","FP-RMCF0402-IPC_C","620.000","195.000","0","100kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R4","10k","TopLayer","FP-RMCF0402-IPC_C","2090.000","130.000","90","10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R3","10k","TopLayer","FP-RMCF0402-IPC_C","1940.000","135.000","270","10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R1","1k","TopLayer","FP-RMCF0402-MFG","1335.000","1025.000","90","1kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"Q1","onsemi_NTR2101PT1G","TopLayer","SOT23_3pins_300x140x112","595.000","305.000","0","MOSFET, P-CH, 8VDS, 3.7A ID, 0.052 OHM RDS(ON)@4.5VGS/3.5A, SOT-23-3"
"L1","47nH 300mA","TopLayer","FP-LQG15HH_02-IPC_B","515.000","755.000","90","Multilayer type RF Inductor 47nH ±5% 0.72O 300mA 0402"
"J2","SMB_131-3711-301","TopLayer","CONN_131-3711-301","222.956","777.123","270","Rf Coaxial Board Mount Connector"
"J1","NRPN042MAMS-RC","TopLayer","NRPN042MAMS-RC","2404.331","444.094","180","Dual Row 8 Position 2 mm Pitch Surface Mount Header"
"DS2","Lumex_SML-LXFM0603SUGCTR","TopLayer","LEDS160X80X110-2N_LXFM0603-GR","2155.000","150.000","270","LED, GREEN, 574NM, 20MA, 20MCD MIN, 2.5VF MAX, 0603, 1.10MM T"
"DS1","Lumex_SML-LXFM0603SUGCTR","TopLayer","LEDS160X80X110-2N_LXFM0603-GR","2005.000","150.000","90","LED, GREEN, 574NM, 20MA, 20MCD MIN, 2.5VF MAX, 0603, 1.10MM T"
"D1","PESD0402-140","TopLayer","FP-PESD0402-MFG","430.000","745.000","90","TVS DIODE 14V 40V 0402"
"C10","10nF","TopLayer","FP-GRM033-0_03-IPC_B","500.000","650.000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 10000pF, X7R, 15%, 10%, 16V"
"C9","100nF","TopLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_B","825.000","565.000","180","None"
"C8","100nF","TopLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_B","795.000","775.000","180","None"
"C7","100nF","TopLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_B","590.000","535.000","180","None"
"C6","100nF","TopLayer","FP-0402-L_1_0_0_05-W_0_5-IPC_B","2176.872","635.000","180","None"
"C5","Murata_GRM155R61E105KA12D","TopLayer","CAPC1005X055N","1275.000","1025.000","90","CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"
"C3","Murata_GRM155R61E105KA12D","TopLayer","CAPC1005X055N","1635.000","600.000","0","CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"
"C2","Murata_GRM155R61E105KA12D","TopLayer","CAPC1005X055N","1635.000","515.000","0","CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"
