Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\Time-Appliance-Project-master\Time-Card\GNSS\UBlox\M2-NEO-M9N\ECAD\Project Outputs for M2_NEO-M9N_MODULE\Pick Place for M2_NEO-M9N_MODULE(845-XXXXX_PCBA_projectname).txt

========================================================================================================================
File Design Information:

Date:       01/07/23
Time:       12:36
Revision:   Not in VersionControl
Variant:    845-XXXXX_PCBA_projectname
Units used: mil

Designator Comment                   Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                       
Q2         2N7002W                   TopLayer FP-419AB-01-IPC_C            248.031       551.181       90       "MOSFET N-CH 60V 115MA SOT-323"                                                                   
LED1       Green                     TopLayer led0603                      336.156       574.960       90       "LED High-Power Uni-Color Green 574nm 2-Pin Chip LED T/R"                                         
R16        1K_1%_0402                TopLayer RESC1005X40X25NL05T05        336.704       485.654       270      "Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel" 
R15        0_5%_0402                 TopLayer RESC1005X40X25NL05T10        165.354       523.622       90       ""                                                                                                
R14        DNI_0_5%_0402             TopLayer RESC1005X40X25NL05T10        122.047       523.622       90       ""                                                                                                
R13        0_5%_0402                 TopLayer RESC1005X40X25NL05T10        314.961       271.654       270      ""                                                                                                
R12        0_5%_0402                 TopLayer RESC1005X40X25NL05T10        149.606       271.654       270      ""                                                                                                
R11        10K_5%_0402               TopLayer RESC1005X40X25LL05T10        401.575       523.622       270      ""                                                                                                
R2         10K_5%_0402               TopLayer RESC1005X40X25LL05T10        460.630       523.622       270      ""                                                                                                
C7         47uF_6.3V_1206            TopLayer FP-GRM31C-0_2-e0_3_0_8-IPC_C 681.102       377.953       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 47uF, X5R, 15%, 20%, 6.3V"         
C6         47uF_6.3V_1206            TopLayer FP-GRM31C-0_2-e0_3_0_8-IPC_C 681.102       468.504       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 47uF, X5R, 15%, 20%, 6.3V"         
R7         "0 ohm 0402"              TopLayer r0402                        649.606       1417.323      180      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                 
Q1         DMG2302UKQ-7              TopLayer SOT23                        439.575       1401.575      90       "N-Channel 20 V 2.8A (Ta) 660mW (Ta) Surface Mount SOT-23-3"                                      
C5         "10nF 50V 0402"           TopLayer c0402                        255.905       1417.323      180      "CAP CER 10000PF 50V X7R 0402"                                                                    
U1         NEO-M9N-00B               TopLayer IC_NEO-M9N                   429.134       940.945       90       "GNSS module, Flash, TCXO, SAW, LNA, LCC, 12x16 mm Professional Grade"                            
TP11       1MM                       TopLayer TP1MM                        519.685       606.299       90       "Test Point 1MM diameter"                                                                         
