Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\TimeCardNPI\HackDesign\WIP\ECAD\Project Outputs for Timingcard_PROJECT\Pick Place for TimeCard-DC-V8_EXP.csv

========================================================================================================================
File Design Information:

Date:       27/01/23
Time:       09:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R110","DNI_4.7K_0402","TopLayer","RESC1005X40X25LL05T05","677.165","-1177.165","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R109","4.7K_0402","TopLayer","RESC1005X40X25LL05T05","677.165","-1102.362","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R108","4.7K_0402","TopLayer","RESC1005X40X25LL05T05","677.165","-1137.795","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R107","DNI_49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2598.425","-1204.724","270",""
"R106","DNI_49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2578.740","-1047.244","180",""
"R105","DNI_49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2389.764","-1224.409","180",""
"R104","DNI_49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2350.394","-1153.543","90",""
"R103","DNI_27_1%_0402","TopLayer","RESC1005X40X25NL05T05","5757.874","-1062.992","0",""
"R102","DNI_27_1%_0402","TopLayer","RESC1005X40X25NL05T05","5834.646","-807.087","0",""
"R101","DNI_27_1%_0402","TopLayer","RESC1005X40X25NL05T05","6062.992","-1011.811","0",""
"R100","DNI_27_1%_0402","TopLayer","RESC1005X40X25NL05T05","6100.394","-818.898","0",""
"U23","TMUX1072RUTR","TopLayer","FP-RUT0012A-MFG","2484.252","-1212.598","90","IC SWITCH SPDT DUAL 12UQFN"
"U22","TMUX1072RUTR","TopLayer","FP-RUT0012A-MFG","5842.520","-933.071","0","IC SWITCH SPDT DUAL 12UQFN"
"U21","TMUX1072RUTR","TopLayer","FP-RUT0012A-MFG","6171.260","-933.071","0","IC SWITCH SPDT DUAL 12UQFN"
"U20","FT234XD-R","TopLayer","FP-DFN-12-IPC_B","6854.331","-531.496","90","IC USB SERIAL BASIC UART 12DFN"
"SW1","A6H-2102","TopLayer","FP-A6H-2102-MFG","4236.221","-1248.032","0","SWITCH SLIDE DIP SPST 25MA 24V"
"R99","49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2539.370","-1307.087","180",""
"R98","49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2555.118","-1153.543","180",""
"R97","49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2440.945","-1307.087","0",""
"R96","49.9_1%_0402","TopLayer","RESC1005X40X25LL05T10","2440.945","-1141.732","0",""
"R95","200_1%_0402","TopLayer","FP-ERJ2RK-IPC_A","4097.301","-1177.867","270","RES SMD 200 OHM 1% 1/10W 0402"
"R94","200_1%_0402","TopLayer","FP-ERJ2RK-IPC_A","4366.142","-1188.892","270","RES SMD 200 OHM 1% 1/10W 0402"
"R93","27_1%_0402","TopLayer","RESC1005X40X25NL05T05","5736.221","-1003.937","0",""
"R92","27_1%_0402","TopLayer","RESC1005X40X25NL05T05","5944.882","-980.315","180",""
"R91","27_1%_0402","TopLayer","RESC1005X40X25NL05T05","5740.158","-881.890","0",""
