Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
1,4,399-1091-1-ND,C0603C103K5RACTU,CAP CER 10000PF 50V X7R 0603,"TIME CARD - C3, C4, C67, C76",4,0,0.1,0.40
2,1,609-5379-1-ND,10118192-0002LF,CONN RCPT USB2.0 MICRO B SMD R/A,TIME CARD - J2,1,0,0.42,0.42
3,1,P4.70KHCT-ND,ERJ-3EKF4701V,RES SMD 4.7K OHM 1% 1/10W 0603,TIME CARD - R22,1,0,0.1,0.10
4,1,P26.1KHCT-ND,ERJ-3EKF2612V,RES SMD 26.1K OHM 1% 1/10W 0603,TIME CARD - R5,1,0,0.1,0.10
5,4,A118077CT-ND,1909763-1,CONN UMCC JACK STR 50OHM SMD,"TIME CARD - AN5, AN6, AN7, AN8",4,0,0.46,1.84
6,11,P0.0JCT-ND,ERJ-2GE0R00X,RES SMD 0 OHM JUMPER 1/10W 0402,"TIME CARD - R[10-16, R32, R17, R23, R24",11,0,0.019,0.21
7,4,255-3246-1-ND,AXK680347YG,CONN HDR 80POS SMD GOLD,"TIME CARD - P1A, P1B, P1C, P1D",4,0,2.88,11.52
8,4,ARFX1232-ND,901-143-6RFX,CONN SMA JACK R/A 50 OHM PCB,"TIME CARD - AN1, AN2, AN3, AN4",4,0,7.94,31.76
9,2,399-5089-1-ND,C0603C104K5RACTU,CAP CER 0.1UF 50V X7R 0603,"TIME CARD - C19, C21",2,0,0.12,0.24
10,15,490-12323-6-ND,GRT188R61E106ME13D,CAP CER 10UF 25V X5R 0603,"TIME CARD-C[5-8,1,13,14,55,56,58,60,62,87,89,92]",15,0,0.81667,12.25
11,2,587-2985-1-ND,TMK212BBJ106KG-T,CAP CER 10UF 25V X5R 0805,"TIME CARD - C55, C92",2,0,0.2,0.40
12,2,445-12207-1-ND,CGA2B3X5R1H333K050BB,CAP CER 0.033UF 50V X5R 0402,"TIME CARD - C20, C22",2,0,0.1,0.20
13,4,490-9952-1-ND,GRM219R61C226ME15L,CAP CER 22UF 16V X5R 0805,"TIME CARD - C72, C73, C74, C75",4,0,0.52,2.08
