Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
D2,8240136,TopLayer,SOT143-4L,553.15,2230.315,90,"TVS Diode WE-TVS-HS, VRWM=3.3V"
D1,8240136,TopLayer,SOT143-4L,551.181,1171.26,90,"TVS Diode WE-TVS-HS, VRWM=3.3V"
R27,4.7K,TopLayer,RESC1608X55X30NL15T15,2372.047,2755.905,90,"Precision Thick Film Chip Resistor, 4.7 KOhm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel ERJ-3EKF4701V"
R26,4.7K,TopLayer,RESC1608X55X30NL15T15,2431.102,2755.905,90,"Precision Thick Film Chip Resistor, 4.7 KOhm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel ERJ-3EKF4701V"
P3,AUX Sensor,TopLayer,HDR1X4,5286.221,4261.811,360,"Header, 4-Pin"
U10,MAC-SA5X,TopLayer,SA53,4753.937,1732.284,0,"MOD, MAC, MAC-SA5X, ATOMIC CLOCK"
R14,49.9R,TopLayer,RESC1608X55X25NL10T15,974.409,2509.843,270,"General Purpose Chip Resistor, 49.9 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
U14,BME280,TopLayer,FP-BME280-MFG,3533.465,2824.803,0,SENSOR PRESSURE HUMIDITY TEMP
U13,BMX160,TopLayer,FP-BMX160-MFG,3238.189,2824.803,0,IMU ACCEL/GYRO/MAG
U12,NC7SZ125M5,TopLayer,FP-318BQ-MFG,1090.551,966.535,360,IC BUF NON-INVERT 5.5V SOT23-5
U11,NC7SZ125M5,TopLayer,FP-318BQ-MFG,1102.362,1968.504,180,IC BUF NON-INVERT 5.5V SOT23-5
U8,NC7SZ125M5,TopLayer,FP-318BQ-MFG,1092.52,1486.22,360,IC BUF NON-INVERT 5.5V SOT23-5
U6,NC7SZ125M5,TopLayer,FP-318BQ-MFG,1102.362,2500,180,IC BUF NON-INVERT 5.5V SOT23-5
U4,DS90LV028AQMA,TopLayer,M08A_L,4744.095,2824.803,360,"Automotive LVDS Dual Differential Line Receiver, 8-pin Narrow SOIC"
U3,DS90LV027AQMA,TopLayer,M08A_N,5448.819,2829.331,360,"Automotive LVDS Dual Differential Driver, 8-pin Narrow SOIC"
R25,49.9R,TopLayer,RESC1608X55X25NL10T15,974.409,935.039,270,"General Purpose Chip Resistor, 49.9 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R17,49.9R,TopLayer,RESC1608X55X25NL10T15,974.409,1988.189,270,"General Purpose Chip Resistor, 49.9 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
