Altium Designer Pick and Place Locations
C:\P4_Workspaces\research\users\ChrisXRobles\Tasks\T131322016 - SA45 Daughter Card\outputs\assembly_SA45_DaughterCard\xydata\SA45_DaughterCard-RevX1_xydata.txt

========================================================================================================================
File Design Information:

Date:       24/01/23
Time:       17:30
Revision:   Not in VersionControl
Variant:    SA45
Units used: mm

Designator Comment                          Layer       Footprint                           Center-X(mm) Center-Y(mm) Rotation Description                                        
J6         Keystone_4871                    BottomLayer Keystone_4871                       4.4000       38.6000      180      ""                                                 
J5         Keystone_4871                    BottomLayer Keystone_4871                       36.2000      40.1000      180      ""                                                 
J4         Keystone_4871                    BottomLayer Keystone_4871                       35.5000      -1.0000      180      ""                                                 
J3         Keystone_4871                    BottomLayer Keystone_4871                       4.4000       2.0000       180      ""                                                 
P10        Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          14.2700      43.3300      180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P9         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          11.2220      43.3300      180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P8         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          8.1740       43.3300      180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P7         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          5.1260       43.3300      180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P6         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          2.0780       43.3300      180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P5         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          0.0000       0.0000       180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P4         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          0.0000       40.6400      180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P3         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          40.6400      40.6400      180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P2         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          40.6800      20.3400      180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
P1         Mill-Max_8600-0-05-80-00-00-03-0 BottomLayer TH001V_109DIA_000mt_8600-0          40.6400      0.0000       180      "CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH" 
R2         Yageo_RC0402FR-0791KL            BottomLayer RESC1005X040N                       14.3850      19.1650      0        "RES SMD 91K OHM 1% 1/16W 0402"                    
