Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\Time-Appliance-Project-master\Time-Card\OSC\OCXO Daughtercard\ECAD\Project Outputs for OCXO_DaughterCard\Pick Place for OCXO_DaughterCard.csv

========================================================================================================================
File Design Information:

Date:       01/07/23
Time:       10:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R36","4.7K_1%_0402","TopLayer","RESC1005X40X25LL05T05","1231.299","1926.181","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R35","4.7K_1%_0402","TopLayer","RESC1005X40X25LL05T05","1335.630","1924.213","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R33","Yageo_RC0201JR-070RL","TopLayer","RESC0603X026N","1851.373","1715.458","180","RES, 0.0 OHM, 0.5A, 1/20W, 0201"
"C23","Samsung Electro-Mechanics_CL05B104JO5NNNC","TopLayer","CAPC1005X055N","1123.031","1809.646","270","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"C22","Murata_GRM188R61A106ME69D","TopLayer","CAPC1608X090N","1067.913","1796.457","270","CAP, CER, X5R, 10UF, 20%, 10V, 0603, 0.80MM T"
"R34","Yageo_RC0201FR-0710KL","TopLayer","RESC0603X026N","948.001","1813.386","270","RES, 10K OHM, 1%, 1/20W, 200PPM/C, 0201"
"Y5","SiTime_SiT5501AC-WU-33E0-10T","TopLayer","SITIME_SPL-086-CQFN-010-C07050_REV_DRAFT","1299.213","1776.772","90","OSC, MEMS, STRATUM 3E, 10.000MHZ, 10PPB STAB, LVCMOS, 3.3V, O/P EN, 7.0X5.0X2.2MM, CQFN-10"
"P14","4871","BottomLayer","Keystone_4871","374.015","279.528","180","Round Standoff Threaded #2-56 Steel 0.063" (1.60mm) 1/16""
"P13","4871","BottomLayer","Keystone_4871","374.015","1720.472","180","Round Standoff Threaded #2-56 Steel 0.063" (1.60mm) 1/16""
"P16","4871","BottomLayer","Keystone_4871","1625.984","1779.528","180","Round Standoff Threaded #2-56 Steel 0.063" (1.60mm) 1/16""
"P15","4871","BottomLayer","Keystone_4871","1598.425","161.417","180","Round Standoff Threaded #2-56 Steel 0.063" (1.60mm) 1/16""
"P12","Mill-Max_8600-0-05-80-00-00-03-0","BottomLayer","TH001V_109DIA_000mt_8600-0","755.905","1905.512","180","CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH"
"P11","Mill-Max_8600-0-05-80-00-00-03-0","BottomLayer","TH001V_109DIA_000mt_8600-0","637.795","1905.512","180","CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH"
"R32","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1640.748","762.181","180",""
"R31","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1586.614","778.913","270",""
"R30","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1554.134","1134.842","90",""
"R29","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1537.402","1080.435","180",""
"R26","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1289.370","1491.142","90",""
"R25","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1300.197","1432.087","0",""
"R24","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1301.181","1315.945","0",""
"R22","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1332.677","1490.158","270",""
"R21","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1301.181","1394.629","180",""
"R20","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","1301.181","1353.347","180",""
"R19","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","124.016","1526.417","180",""
"R18","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","124.016","1487.047","180",""
"R17","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","124.016","1367.953","180",""
"R15","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","124.155","1566.772","0",""
